Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_short,EMA_long,MACD,Signal,Std_Dev
2024-04-30 00:00:00-04:00,172.89510648752642,174.55094510114296,169.57345983027295,169.9026336669922,65934800,0.0,0.0,,,169.9026336669922,169.9026336669922,0.0,0.0,16.825159551878677
2024-05-01 00:00:00-04:00,169.15450985940603,172.27666126931797,168.68568791540957,168.87521362304688,50383100,0.0,0.0,,,169.74456904484674,169.8265284785518,-0.08195943370506598,-0.016391886741013197,16.825159551878677
2024-05-02 00:00:00-04:00,172.07714095067269,172.9848612765476,170.46121064520491,172.59584045410156,94214900,0.0,0.0,,,170.18322618473212,170.0316626989629,0.1515634857692305,0.017199187761035545,16.825159551878677
2024-05-03 00:00:00-04:00,186.18166020430448,186.5307880883928,182.20168147231004,182.9198760986328,163224100,0.0,0.0,,,172.1427107868707,170.9863451730125,1.1563656138582132,0.2450324729804711,16.825159551878677
2024-05-06 00:00:00-04:00,181.89248296216456,183.7378321090879,179.96731749133704,181.25408935546875,78569700,0.0,0.0,175.10953063964843,,173.54446133588579,171.7469188161574,1.7975425197283812,0.5555344823300531,16.825159551878677
2024-05-07 00:00:00-04:00,182.9896901956702,184.43604885883423,180.8650450721818,181.94232177734375,77305800,0.0,0.0,177.51746826171876,,174.83643986534085,172.50213385031935,2.3343060150214967,0.9112887888683419,16.825159551878677
2024-05-08 00:00:00-04:00,182.3912187494054,182.6106679669662,180.99472234488195,182.281494140625,45057100,0.0,0.0,180.19872436523437,,175.98183283076918,173.2265309088605,2.755301921908682,1.2800914154764098,16.825159551878677
2024-05-09 00:00:00-04:00,182.1019366221584,184.19667360442534,181.65306876038784,184.10690307617188,48983000,0.0,0.0,182.50093688964844,,177.23184363775422,174.0324844027354,3.199359235018818,1.6639449793848915,16.825159551878677
2024-05-10 00:00:00-04:00,184.68621556318556,184.87599832689259,181.91942916527435,182.83836364746094,50759500,0.25,0.0,182.48463439941406,,178.0943851777091,174.68477175419656,3.4096134235125533,2.013078668210424,16.825159551878677
2024-05-13 00:00:00-04:00,185.225611031474,186.88369552554556,184.40655173639718,186.06463623046875,72044800,0.0,0.0,183.44674377441407,,179.32057764736444,175.52772467836488,3.7928529689995685,2.369033528368253,16.825159551878677
2024-05-14 00:00:00-04:00,187.29321195228255,188.08230715884645,186.07462118962928,187.2133026123047,52393600,0.0,0.0,184.50093994140624,,180.53484302658603,176.3933230438419,4.141519982744143,2.723530819243431,16.825159551878677
2024-05-15 00:00:00-04:00,187.6927512010029,190.42957359114274,187.15336698785217,189.5006561279297,70400000,0.0,0.0,185.94477233886718,,181.9141988883312,177.36423660562616,4.549962282705053,3.0888171119357555,16.825159551878677
2024-05-16 00:00:00-04:00,190.24979042229978,190.87906692858394,189.44072933773313,189.62051391601562,52845200,0.0,0.0,187.04749450683593,,183.09978581566727,178.27210899898836,4.827676816678917,3.4365890528843877,16.825159551878677
2024-05-17 00:00:00-04:00,189.29089777212403,190.58939786133627,188.96127746355222,189.65048217773438,41282900,0.0,0.0,188.40991821289063,85.68285424233886,184.10758525598527,179.11495145667325,4.992633799312017,3.7477980021699135,16.825159551878677
2024-05-20 00:00:00-04:00,189.11110786674266,191.69810977923598,188.7914705191316,190.81912231445312,44361300,0.0,0.0,189.3608154296875,86.2630068828612,185.1401294188265,179.98192707576806,5.158202343058434,4.029878870347618,16.825159551878677
2024-05-21 00:00:00-04:00,190.86907148104808,192.50717481837918,190.6992698520675,192.12762451171875,42309400,0.0,0.0,190.34367980957032,89.92369836068323,186.21512866388682,180.88160836731998,5.333520296566832,4.290607155591461,16.825159551878677
2024-05-22 00:00:00-04:00,192.04771725232771,192.59708443506426,190.05002949048443,190.67929077148438,34648500,0.0,0.0,190.57940673828125,83.6764965806812,186.90192283428644,181.6073626194803,5.2945602148061255,4.491397767434394,16.825159551878677
